delay_time,d_out
7.050,6.323e-09
7.051,6.324e-09
7.052,6.325e-09
7.053,6.326e-09
7.054,6.327e-09
7.055,6.328e-09
7.056,6.329e-09
7.057,6.330e-09
7.058,6.331e-09
7.059,6.332e-09
7.060,6.333e-09
7.061,6.334e-09
7.062,6.335e-09
7.063,6.336e-09
7.064,6.337e-09
7.065,6.338e-09
7.066,6.339e-09
7.067,6.340e-09
7.068,6.341e-09
7.069,4.088e-10
7.070,3.689e-10
7.071,3.581e-10
7.072,3.538e-10
7.073,3.522e-10
7.074,3.515e-10
7.075,3.515e-10
7.076,3.519e-10
7.077,3.526e-10
7.078,3.535e-10
7.079,3.543e-10
7.080,3.552e-10
7.081,3.562e-10
7.082,3.572e-10
7.083,3.581e-10
7.084,3.591e-10
7.085,3.601e-10
7.086,3.611e-10
7.087,3.621e-10
7.088,3.631e-10
7.089,3.641e-10
7.090,3.651e-10
7.091,3.661e-10
7.092,3.671e-10
7.093,3.680e-10
7.094,3.691e-10
7.095,3.700e-10
7.096,3.709e-10
7.097,3.719e-10
7.098,3.729e-10
7.099,3.740e-10
7.100,3.749e-10
7.101,3.759e-10
7.102,3.768e-10
7.103,3.777e-10
