delay_time,d_out
6.800,6.098e-09
6.801,6.099e-09
6.802,6.100e-09
6.803,6.101e-09
6.804,6.102e-09
6.805,6.103e-09
6.806,6.104e-09
6.807,6.105e-09
6.808,6.106e-09
6.809,6.107e-09
6.810,6.108e-09
6.811,6.109e-09
6.812,6.110e-09
6.813,6.111e-09
6.814,6.112e-09
6.815,6.113e-09
6.816,6.114e-09
6.817,6.115e-09
6.818,6.116e-09
6.819,6.117e-09
6.820,6.118e-09
6.821,6.119e-09
6.822,6.120e-09
6.823,6.121e-09
6.824,6.122e-09
6.825,6.123e-09
6.826,6.124e-09
6.827,6.125e-09
6.828,6.126e-09
6.829,6.127e-09
6.830,6.128e-09
6.831,6.129e-09
6.832,6.130e-09
6.833,6.131e-09
6.834,6.132e-09
6.835,6.133e-09
6.836,6.134e-09
6.837,6.135e-09
6.838,6.136e-09
6.839,6.137e-09
6.840,6.138e-09
6.841,6.139e-09
6.842,6.140e-09
6.843,6.141e-09
6.844,6.142e-09
6.845,6.143e-09
6.846,6.144e-09
6.847,6.145e-09
6.848,6.146e-09
6.849,6.147e-09
6.850,6.148e-09
6.851,6.149e-09
6.852,6.150e-09
6.853,6.151e-09
6.854,6.152e-09
6.855,6.153e-09
6.856,6.154e-09
6.857,6.155e-09
6.858,6.156e-09
6.859,6.157e-09
6.860,6.158e-09
6.861,6.159e-09
6.862,6.160e-09
6.863,6.161e-09
6.864,6.162e-09
6.865,6.163e-09
6.866,6.164e-09
6.867,6.165e-09
6.868,6.166e-09
6.869,6.167e-09
6.870,6.168e-09
6.871,6.169e-09
6.872,6.170e-09
6.873,6.171e-09
6.874,6.172e-09
6.875,6.173e-09
6.876,6.174e-09
6.877,6.175e-09
6.878,6.176e-09
6.879,6.177e-09
6.880,6.178e-09
6.881,6.179e-09
6.882,6.180e-09
6.883,6.181e-09
6.884,6.182e-09
6.885,6.183e-09
6.886,6.184e-09
6.887,6.185e-09
6.888,6.186e-09
6.889,6.187e-09
6.890,6.188e-09
6.891,6.189e-09
6.892,6.190e-09
6.893,6.191e-09
6.894,6.192e-09
6.895,6.193e-09
6.896,6.194e-09
6.897,6.195e-09
6.898,6.196e-09
6.899,6.197e-09
6.900,6.198e-09
6.901,6.199e-09
6.902,6.200e-09
6.903,6.201e-09
6.904,6.202e-09
6.905,6.203e-09
6.906,6.204e-09
6.907,6.205e-09
6.908,6.206e-09
6.909,6.207e-09
6.910,6.208e-09
6.911,6.209e-09
6.912,6.210e-09
6.913,6.211e-09
6.914,6.212e-09
6.915,6.213e-09
6.916,6.214e-09
6.917,6.215e-09
6.918,6.216e-09
6.919,6.217e-09
6.920,6.218e-09
6.921,6.219e-09
6.922,6.220e-09
6.923,6.221e-09
6.924,6.222e-09
6.925,6.223e-09
6.926,6.224e-09
6.927,6.225e-09
6.928,6.226e-09
6.929,6.227e-09
6.930,6.228e-09
6.931,6.229e-09
6.932,6.230e-09
6.933,6.231e-09
6.934,6.232e-09
6.935,6.233e-09
6.936,6.234e-09
6.937,6.235e-09
6.938,6.236e-09
6.939,6.237e-09
6.940,6.238e-09
6.941,6.239e-09
6.942,6.240e-09
6.943,6.241e-09
6.944,6.242e-09
6.945,6.243e-09
6.946,6.244e-09
6.947,6.245e-09
6.948,6.246e-09
6.949,6.247e-09
6.950,6.248e-09
6.951,6.249e-09
6.952,6.250e-09
6.953,6.251e-09
6.954,6.252e-09
6.955,6.253e-09
6.956,6.254e-09
6.957,6.255e-09
6.958,6.256e-09
6.959,6.257e-09
6.960,6.258e-09
6.961,6.259e-09
6.962,6.260e-09
6.963,6.261e-09
6.964,6.262e-09
6.965,6.263e-09
6.966,6.264e-09
6.967,6.265e-09
6.968,6.266e-09
6.969,6.267e-09
6.970,6.268e-09
6.971,6.269e-09
6.972,6.270e-09
6.973,6.271e-09
6.974,6.272e-09
6.975,6.273e-09
6.976,6.274e-09
6.977,6.275e-09
6.978,6.276e-09
6.979,6.277e-09
6.980,4.538e-10
6.981,4.128e-10
6.982,3.982e-10
6.983,3.888e-10
6.984,3.829e-10
6.985,3.790e-10
6.986,3.761e-10
6.987,3.741e-10
6.988,3.724e-10
6.989,3.711e-10
6.990,3.701e-10
6.991,3.693e-10
6.992,3.686e-10
6.993,3.680e-10
6.994,3.673e-10
6.995,3.671e-10
6.996,3.668e-10
6.997,3.664e-10
6.998,3.661e-10
6.999,3.661e-10
7.000,3.658e-10
7.001,3.658e-10
7.002,3.657e-10
7.003,3.656e-10
7.004,3.656e-10
7.005,3.656e-10
7.006,3.656e-10
7.007,3.655e-10
7.008,3.656e-10
7.009,3.657e-10
7.010,3.655e-10
7.011,3.657e-10
7.012,3.659e-10
7.013,3.659e-10
7.014,3.658e-10
7.015,3.661e-10
7.016,3.662e-10
7.017,3.663e-10
7.018,3.663e-10
7.019,3.665e-10
7.020,3.665e-10
7.021,3.665e-10
7.022,3.665e-10
7.023,3.667e-10
7.024,3.668e-10
7.025,3.667e-10
7.026,3.669e-10
7.027,3.670e-10
7.028,3.668e-10
7.029,3.671e-10
7.030,3.671e-10
7.031,3.672e-10
7.032,3.672e-10
7.033,3.673e-10
7.034,3.672e-10
7.035,3.674e-10
7.036,3.675e-10
7.037,3.674e-10
7.038,3.674e-10
7.039,3.676e-10
7.040,3.677e-10
7.041,3.677e-10
7.042,3.679e-10
7.043,3.679e-10
7.044,3.680e-10
7.045,3.681e-10
7.046,3.683e-10
7.047,3.682e-10
7.048,3.685e-10
7.049,3.684e-10
7.050,3.687e-10
7.051,3.688e-10
7.052,3.690e-10
7.053,3.691e-10
7.054,3.693e-10
7.055,3.697e-10
7.056,3.698e-10
7.057,3.698e-10
7.058,3.703e-10
7.059,3.705e-10
7.060,3.708e-10
7.061,3.710e-10
7.062,3.713e-10
7.063,3.717e-10
7.064,3.720e-10
7.065,3.724e-10
7.066,3.729e-10
7.067,3.733e-10
7.068,3.738e-10
7.069,3.742e-10
7.070,3.748e-10
7.071,3.754e-10
7.072,3.759e-10
7.073,3.762e-10
7.074,3.771e-10
7.075,3.776e-10
7.076,3.784e-10
7.077,3.791e-10
